MONTADORA;Modelo;VALOR DO DESCONTO;Estado;País;MOTOR
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT ARGO 1.0 DRIVE FLEX 5-P (358AFV1);6000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT ARGO 1.0 DRIVE FLEX 5-P (358ATV1);6000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT ARGO 1.0 FLEX 5-P (358A1N0);6000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT ARGO 1.0 FLEX 5-P (358ACC1);6000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT ARGO 1.0 FLEX 5-P (358ACN0);6000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT ARGO 1.0 FLEX 5-P (358ACV1);6000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT ARGO 1.3 TREKKING FLEX 5-P (358A7H0);6000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT ARGO 1.3 TREKKING FLEX 5-P (358AGH0);6000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT ARGO 1.3 TREKKING FLEX 5-P (358AGH1);6000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT ARGO 1.3 TREKKING FLEX 5-P (358AGY1);6000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT ARGO 1.3 TREKKING FLEX 5-P (358AGZ1);6000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT CRONOS 1.0 DRIVE FLEX 4-P (359AFN1);6000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT CRONOS 1.0 DRIVE FLEX 4-P (359ATN1);6000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT CRONOS 1.0 FLEX 4-P (359ACM1);6000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT CRONOS 1.0 FLEX 4-P (359ACN1);6000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT CRONOS 1.3 DRIVE FLEX 4-P (359A1D0);6000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT CRONOS 1.3 DRIVE FLEX 4-P (359AFD0);6000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT CRONOS 1.3 DRIVE FLEX 4-P (359AFP1);6000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT CRONOS 1.3 DRIVE FLEX 4-P (359AFZ1);6000;Minas Gerais;Brasil;1.3
HYUNDAI MOTOR BRASIL;HB20 COMFORT 1.0 5MT AV+ESC+SAB;6000;São Paulo;Brasil;1.0
HYUNDAI MOTOR BRASIL;HB20 COMFORT 1.0 5MT AV+ESC+SAB;6000;São Paulo;Brasil;1.0
HYUNDAI MOTOR BRASIL;HB20 COMFORT 1.0 5MT AV+ESC+SAB;6000;São Paulo;Brasil;1.0
HYUNDAI MOTOR BRASIL;HB20 COMFORT 1.0 5MT AV+ESC+SAB MY23/24;6000;São Paulo;Brasil;1.0
HYUNDAI MOTOR BRASIL;HB20 SENSE 1.0 5MT BTH+ESC+SAB MY23/23;6000;São Paulo;Brasil;1.0
HYUNDAI MOTOR BRASIL;HB20 SENSE 1.0 5MT BTH+ESC+SAB MY23/24;6000;São Paulo;Brasil;1.0
VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES LTDA;NOVO POLO / MPI;6000;Paraná;Brasil;1.8
VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES LTDA;NOVO POLO / TRACK;6000;Paraná;Brasil;1.8
GENERAL MOTORS DO BRASIL LTDA;ONIX 1.0 MT;6000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX 1.0 MT;6000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX LT1 1.0 MT;6000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX LT1 1.0 MT;6000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX LT1 1.0 MT;6000;São Paulo;Brasil;1.0
